epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.798,1.33057,1.08415,1.20599,0.86872,0.7557,0.84609,0.53834,1.25134,0.69161,1.10107,0.00332935,0.00332935,0.00332935
2,609.236,1.238,0.76201,1.09571,0.87191,0.73745,0.82427,0.52231,1.27485,0.74703,1.11699,0.00653076,0.00653076,0.00653076
3,907.327,1.27771,0.83557,1.12125,0.8562,0.65504,0.74828,0.45654,1.38634,0.92944,1.18117,0.00960018,0.00960018,0.00960018
4,1204.31,1.31028,0.87527,1.14911,0.86552,0.74007,0.81659,0.51832,1.2801,0.76282,1.13932,0.009406,0.009406,0.009406
5,1501.21,1.2757,0.82041,1.12963,0.87885,0.76143,0.83797,0.53814,1.24345,0.70583,1.11162,0.009208,0.009208,0.009208
6,1798.2,1.25745,0.79103,1.12286,0.89131,0.75486,0.8361,0.52911,1.23702,0.69906,1.11798,0.00901,0.00901,0.00901
7,2095.09,1.24424,0.76346,1.10846,0.88418,0.77235,0.84697,0.55104,1.2252,0.66772,1.09944,0.008812,0.008812,0.008812
8,2392.11,1.22157,0.73839,1.10159,0.88631,0.76983,0.84883,0.55104,1.22863,0.65666,1.1018,0.008614,0.008614,0.008614
9,2689.08,1.2136,0.72024,1.09335,0.88827,0.78551,0.86253,0.56193,1.21132,0.63466,1.09209,0.008416,0.008416,0.008416
10,2986.01,1.19968,0.70713,1.08663,0.8952,0.78293,0.86389,0.56617,1.19716,0.62529,1.08692,0.008218,0.008218,0.008218
11,3283,1.18844,0.69423,1.08752,0.89131,0.79008,0.86667,0.5685,1.19131,0.62085,1.08913,0.00802,0.00802,0.00802
12,3579.9,1.19289,0.68538,1.08334,0.89051,0.79454,0.87137,0.56911,1.20332,0.60457,1.08774,0.007822,0.007822,0.007822
13,3876.79,1.18525,0.67855,1.07961,0.88071,0.80648,0.87635,0.57764,1.17641,0.59155,1.0754,0.007624,0.007624,0.007624
14,4173.78,1.17212,0.66186,1.07265,0.88964,0.79843,0.87394,0.57566,1.18383,0.59081,1.07427,0.007426,0.007426,0.007426
15,4471.22,1.17936,0.66479,1.07544,0.89629,0.79464,0.8754,0.57972,1.17647,0.5824,1.0751,0.007228,0.007228,0.007228
16,4769.32,1.16973,0.65647,1.0666,0.88791,0.80603,0.8788,0.58445,1.16703,0.57001,1.06699,0.00703,0.00703,0.00703
17,5066.91,1.16117,0.6492,1.0643,0.87822,0.81668,0.8822,0.58502,1.16701,0.57212,1.06468,0.006832,0.006832,0.006832
18,5364.43,1.15109,0.63779,1.06263,0.89603,0.81002,0.88548,0.58778,1.15947,0.55989,1.06454,0.006634,0.006634,0.006634
19,5662.05,1.15486,0.63166,1.06308,0.89645,0.81299,0.88542,0.59009,1.16243,0.55702,1.05605,0.006436,0.006436,0.006436
20,5959.73,1.1491,0.62993,1.05533,0.88581,0.81921,0.88427,0.58784,1.15941,0.5597,1.05968,0.006238,0.006238,0.006238
21,6257.19,1.14451,0.62167,1.06101,0.89168,0.8193,0.88761,0.59226,1.15659,0.54872,1.06376,0.00604,0.00604,0.00604
22,6555.32,1.13471,0.61282,1.05346,0.89111,0.81493,0.8891,0.59326,1.14991,0.54373,1.05433,0.005842,0.005842,0.005842
23,6852.75,1.13936,0.61396,1.05344,0.88798,0.82552,0.88912,0.59487,1.1498,0.53482,1.05416,0.005644,0.005644,0.005644
24,7149.96,1.13891,0.6072,1.05288,0.89572,0.82095,0.89333,0.59568,1.14932,0.53243,1.05745,0.005446,0.005446,0.005446
25,7447.32,1.12707,0.59872,1.05251,0.8878,0.82678,0.89272,0.59757,1.1405,0.52993,1.05385,0.005248,0.005248,0.005248
26,7744.44,1.12066,0.59525,1.04838,0.89596,0.82183,0.89337,0.60005,1.13868,0.52368,1.05261,0.00505,0.00505,0.00505
27,8041.6,1.12275,0.59158,1.04943,0.8955,0.81791,0.89358,0.60009,1.13964,0.52771,1.05496,0.004852,0.004852,0.004852
28,8338.87,1.117,0.58461,1.048,0.90167,0.82416,0.89639,0.60087,1.13877,0.51899,1.05502,0.004654,0.004654,0.004654
29,8636.13,1.11041,0.57633,1.04502,0.89768,0.8178,0.89292,0.60187,1.1349,0.52361,1.05114,0.004456,0.004456,0.004456
